Jahr;Nachname;Vorname;Geschlecht;Funktion;Departement;Reihenfolge;Bezirk
1990;Graf;Beat;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1990;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1990;Manser;Hans;m;Statthalter;Sanitätsdepartement;3;Gonten
1990;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1990;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1990;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1990;Wild;Alfred;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Appenzell
1990;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1990;Bischofberger;Walter;m;Zeugherr;Militärdepartement;9;Oberegg
1989;Graf;Beat;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1989;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1989;Manser;Hans;m;Statthalter;Sanitätsdepartement;3;Gonten
1989;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1989;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1989;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1989;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1989;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1989;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1988;Graf;Beat;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1988;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1988;Manser;Hans;m;Statthalter;Sanitätsdepartement;3;Gonten
1988;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1988;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1988;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1988;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1988;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1988;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
